"Date","Price","Open","High","Low","Change %"
"01/26/2024","39.709","39.709","39.709","39.709","1.55%"
"01/25/2024","39.101","39.101","39.101","39.101","-0.89%"
"01/24/2024","39.453","39.453","39.453","39.453","0.31%"
"01/23/2024","39.330","39.330","39.330","39.330","-1.11%"
"01/22/2024","39.773","0.000","39.773","39.773","-0.23%"
"01/20/2024","39.866","39.866","39.866","39.866","3.16%"
"01/19/2024","38.643","38.643","38.643","38.643","-3.31%"
"01/18/2024","39.965","38.755","39.997","36.458","2.93%"
"01/17/2024","38.829","41.595","41.595","38.829","-1.60%"
"01/16/2024","39.459","39.459","39.459","39.459","0.78%"
"01/15/2024","39.154","39.154","39.154","39.154","-3.25%"
"01/14/2024","40.468","40.468","40.468","40.468","0.00%"
"01/13/2024","40.468","40.468","40.468","40.468","-0.42%"
"01/12/2024","40.638","40.638","40.638","40.638","7.53%"
"01/11/2024","37.792","37.792","37.792","37.792","-1.67%"
"01/10/2024","38.432","38.432","38.432","38.432","-0.90%"
"01/09/2024","38.781","38.781","38.781","38.781","2.71%"
"01/08/2024","37.757","37.757","37.757","37.757","-2.66%"
"01/07/2024","38.790","38.790","38.790","38.790","3.54%"
"01/06/2024","37.462","37.462","37.462","37.462","-1.44%"
"01/05/2024","38.010","38.010","38.010","38.010","4.02%"
"01/04/2024","36.542","36.542","36.542","36.542","0.55%"
"01/03/2024","36.341","36.341","36.341","36.341","0.77%"
"01/02/2024","36.064","36.064","36.064","33.296","-0.44%"
"01/01/2024","36.222","36.222","36.222","36.222","6.68%"
"12/30/2023","33.955","33.955","33.955","33.955","0.00%"
"12/29/2023","33.955","33.955","33.955","33.955","-5.71%"
"12/28/2023","36.010","42.806","42.806","36.010","1.62%"
"12/27/2023","35.437","51.961","51.961","35.280","-16.93%"
"12/26/2023","42.661","42.661","42.661","35.750","21.09%"
"12/25/2023","35.230","37.707","40.920","35.230","-14.74%"
"12/24/2023","41.319","41.319","41.319","41.319","0.98%"
"12/23/2023","40.920","40.920","40.920","40.920","14.71%"
"12/22/2023","35.674","35.674","35.674","35.674","-0.02%"
"12/21/2023","35.681","35.681","35.681","35.681","0.68%"
"12/20/2023","35.440","35.440","35.440","35.440","-0.01%"
"12/19/2023","35.442","35.442","35.442","35.442","2.94%"
"12/18/2023","34.430","34.430","34.430","34.430","-11.27%"
"12/17/2023","38.801","38.801","38.801","38.801","0.00%"
"12/16/2023","38.801","38.801","38.801","38.801","7.40%"
"12/15/2023","36.128","36.128","36.128","36.128","-4.92%"
"12/14/2023","37.996","37.996","37.996","37.996","-2.08%"
"12/13/2023","38.803","38.803","38.803","38.803","1.16%"
"12/12/2023","38.357","38.357","38.357","38.357","3.64%"
"12/11/2023","37.011","37.011","37.011","36.551","-4.71%"
"12/10/2023","38.839","38.839","38.839","38.839","5.30%"
"12/08/2023","36.883","36.883","36.883","36.883","0.06%"
"12/07/2023","36.862","56.113","56.113","36.793","-2.29%"
"12/06/2023","37.725","37.725","39.469","37.725","-4.42%"
"12/05/2023","39.469","39.469","39.469","39.469","-1.49%"
"12/04/2023","40.065","40.065","34.560","34.560","3.36%"
"12/03/2023","38.763","40.009","40.009","38.763","-3.11%"
"12/02/2023","40.009","40.009","40.009","40.009","1.47%"
"12/01/2023","39.429","38.935","39.429","39.429","-7.92%"
"11/30/2023","42.819","42.819","42.819","42.819","4.80%"
"11/29/2023","40.859","40.859","40.859","40.859","3.94%"
"11/28/2023","39.311","39.311","39.311","39.311","42.64%"
"11/27/2023","27.560","27.560","27.560","27.560","-31.90%"
"11/26/2023","40.467","40.467","40.467","40.467","2.16%"
"11/25/2023","39.612","39.612","39.612","39.612","0.00%"
"11/24/2023","39.612","28.706","39.612","39.612","37.99%"
"11/23/2023","28.706","29.939","54.247","28.706","-4.12%"
"11/22/2023","29.939","29.939","29.939","29.939","-7.49%"
"11/20/2023","32.363","32.363","34.740","32.363","0.03%"
"11/19/2023","32.354","32.354","32.354","32.354","-11.53%"
"11/18/2023","36.572","36.572","36.572","36.572","44.53%"
"11/17/2023","25.304","25.304","25.304","25.304","16.65%"
"11/16/2023","21.693","21.693","21.693","21.693","-7.07%"
"11/15/2023","23.343","23.343","31.804","31.804","5.62%"
"11/14/2023","22.100","22.100","22.100","22.100","-18.43%"
"11/13/2023","27.092","27.092","27.092","27.092","-2.32%"
"11/12/2023","27.736","27.736","27.736","27.736","0.00%"
"11/11/2023","27.736","27.736","27.736","27.736","3.13%"
"11/10/2023","26.894","26.894","64.500","64.500","-0.35%"
"11/09/2023","26.989","26.989","69.249","26.989","4.15%"
"11/08/2023","25.913","25.913","69.249","25.913","14.05%"
"11/07/2023","22.720","22.720","63.960","22.720","31.09%"
"11/06/2023","17.332","17.332","40.705","17.332","-37.40%"
"11/05/2023","27.687","27.687","27.687","27.687","0.00%"
"11/04/2023","27.687","27.687","27.687","27.687","0.63%"
"11/03/2023","27.514","27.514","27.514","27.514","15.36%"
"11/02/2023","23.851","23.851","25.601","23.851","-1.55%"
"11/01/2023","24.227","24.227","24.227","24.227","-32.40%"
"10/31/2023","35.838","35.838","31.597","19.275","48.40%"
"10/30/2023","24.149","24.149","24.149","22.474","3.79%"
"10/29/2023","23.268","23.268","23.268","23.268","3.53%"
"10/28/2023","22.474","22.474","22.474","22.474","0.00%"
"10/27/2023","22.474","22.474","22.474","22.474","-0.83%"
"10/26/2023","22.661","22.661","22.661","22.661","2.64%"
"10/25/2023","22.078","22.078","22.078","22.078","-3.04%"
"10/24/2023","22.771","22.771","22.771","22.771","4.26%"
"10/23/2023","21.841","22.510","21.841","21.841","-11.74%"
"10/19/2023","24.746","24.746","24.746","21.755","24.92%"
"10/18/2023","19.810","19.810","23.190","19.810","6.51%"
"10/17/2023","18.600","18.600","18.600","18.600","13.91%"
"10/16/2023","16.329","16.329","16.329","16.329","-26.54%"
"10/15/2023","22.228","22.228","22.228","22.228","0.00%"
"10/14/2023","22.228","22.228","22.228","22.228","0.00%"
"10/13/2023","22.228","22.228","22.228","20.777","1.50%"
"10/12/2023","21.900","22.379","22.379","21.509","1.15%"
"10/11/2023","21.651","23.056","23.056","21.545","-3.00%"
"10/10/2023","22.320","23.974","23.974","21.774","2.63%"
"10/09/2023","21.749","22.636","23.001","21.749","-1.06%"
"10/07/2023","21.982","21.982","21.982","21.982","0.76%"
"10/06/2023","21.817","22.110","22.647","21.817","-7.47%"
"10/05/2023","23.578","22.774","22.696","11.855","11.14%"
"10/04/2023","21.215","21.965","24.230","21.215","-4.14%"
"10/03/2023","22.131","21.905","22.131","22.131","2.70%"
"10/02/2023","21.549","24.697","21.549","21.549","-11.65%"
"10/01/2023","24.390","24.390","24.390","24.390","3.06%"
"09/30/2023","23.665","23.665","23.665","23.665","12.23%"
"09/29/2023","21.087","23.850","23.638","21.087","-0.48%"
"09/28/2023","21.188","23.860","23.660","21.188","-2.88%"
"09/27/2023","21.816","23.736","23.736","21.816","-0.64%"
"09/26/2023","21.956","22.085","22.085","21.956","1.92%"
"09/25/2023","21.543","27.022","24.614","21.543","-12.84%"
"09/23/2023","24.718","24.718","24.718","24.718","12.18%"
"09/22/2023","22.034","28.654","22.034","22.034","0.79%"
"09/21/2023","21.862","25.733","22.054","21.862","0.20%"
"09/20/2023","21.819","27.545","22.747","21.819","-0.25%"
"09/19/2023","21.873","24.937","21.873","21.873","-12.54%"
"09/18/2023","25.008","0.000","25.008","25.008","0.00%"
"09/17/2023","25.008","25.008","25.008","25.008","0.60%"
"09/16/2023","24.859","24.859","24.859","24.859","13.12%"
"09/15/2023","21.976","24.547","24.930","21.692","-0.11%"
"09/14/2023","22.000","0.000","22.000","22.000","0.00%"
"09/13/2023","22.000","25.000","25.000","19.529","0.15%"
"09/12/2023","21.966","21.966","23.875","19.529","12.48%"
"09/11/2023","19.529","25.748","23.875","19.529","8.70%"
"09/10/2023","17.966","17.966","17.966","17.966","-20.49%"
"09/09/2023","22.596","22.596","22.596","22.596","15.12%"
"09/08/2023","19.628","21.863","19.628","19.628","-8.88%"
"09/07/2023","21.541","21.669","21.541","21.541","-0.06%"
"09/05/2023","21.555","21.555","21.555","21.555","-12.08%"
"09/04/2023","24.516","0.000","24.516","24.516","0.00%"
"09/03/2023","24.516","24.516","24.516","24.516","0.00%"
"09/02/2023","24.516","24.516","24.516","24.516","25.04%"
"09/01/2023","19.607","21.670","24.355","19.607","-7.02%"
"08/31/2023","21.087","20.879","21.892","15.652","0.20%"
"08/30/2023","21.044","21.044","21.044","21.044","0.01%"
"08/29/2023","21.041","21.379","21.604","20.330","4.39%"
"08/28/2023","20.156","22.921","23.333","20.156","35.50%"
"08/27/2023","14.875","14.875","14.875","14.875","0.00%"
"08/26/2023","14.875","14.875","14.875","14.875","0.00%"
"08/25/2023","14.875","14.875","14.875","14.875","-16.45%"
"08/24/2023","17.804","19.363","17.804","17.804","12.23%"
"08/23/2023","15.864","18.746","15.864","15.864","1.33%"
"08/22/2023","15.656","18.276","15.656","15.656","-7.95%"
"08/19/2023","17.009","18.650","18.650","17.009","-8.80%"
"08/18/2023","18.650","18.502","18.650","17.009","6.06%"
"08/17/2023","17.584","17.650","17.650","17.368","-1.05%"
"08/16/2023","17.770","17.608","17.827","17.596","24.79%"
"08/15/2023","14.240","15.990","15.975","14.240","-2.61%"
"08/14/2023","14.621","18.241","16.837","14.621","-12.79%"
"08/10/2023","16.765","16.336","14.922","14.922","-0.08%"
"08/09/2023","16.779","15.697","16.779","16.779","23.23%"
"08/08/2023","13.616","15.514","13.616","13.616","-20.57%"
"08/07/2023","17.143","17.139","15.037","15.037","23.57%"
"08/06/2023","13.873","13.873","13.873","13.873","0.00%"
"08/05/2023","13.873","13.873","13.873","13.873","0.00%"
"08/04/2023","13.873","15.587","13.629","13.873","1.79%"
"08/03/2023","13.629","15.300","13.629","13.629","7.53%"
"08/02/2023","12.675","16.134","12.675","12.675","-7.89%"
"08/01/2023","13.760","13.760","13.760","13.760","-8.41%"
"07/31/2023","15.024","15.872","15.024","15.024","-11.23%"
"07/30/2023","16.925","16.925","16.925","16.925","0.00%"
"07/29/2023","16.925","16.925","16.925","16.925","0.68%"
"07/28/2023","16.811","16.925","16.925","16.811","8.25%"
"07/27/2023","15.530","15.530","15.530","15.530","7.94%"
"07/26/2023","14.387","15.646","15.784","14.190","4.78%"
"07/25/2023","13.731","14.135","13.725","11.724","17.12%"
"07/24/2023","11.724","0.000","16.180","11.724","-21.71%"
"07/23/2023","14.976","14.976","14.976","14.976","0.00%"
"07/22/2023","14.976","14.976","14.976","14.976","10.36%"
"07/21/2023","13.570","14.348","13.571","13.571","-0.10%"
"07/20/2023","13.584","13.996","13.584","13.584","10.33%"
"07/19/2023","12.312","14.031","12.312","12.312","-7.71%"
"07/18/2023","13.340","12.190","13.340","13.340","11.05%"
"07/17/2023","12.013","12.013","12.013","12.013","18.65%"
"07/14/2023","10.125","10.125","11.681","10.125","6.86%"
"07/13/2023","9.475","12.660","11.557","9.475","-22.25%"
"07/12/2023","12.186","12.186","12.186","12.186","-12.96%"
"07/11/2023","14.000","14.000","14.000","10.752","16.30%"
"07/10/2023","12.038","12.038","11.753","12.038","6.88%"
"07/07/2023","11.263","11.263","11.263","11.263","13.49%"
"07/06/2023","9.924","9.924","9.924","9.924","-10.43%"
"07/05/2023","11.079","11.079","11.079","11.079","-1.84%"
"07/04/2023","11.287","12.010","11.287","11.287","-6.17%"
"06/22/2023","12.029","12.029","12.029","12.029","0.00%"
"06/21/2023","12.029","12.029","12.029","5.375","-66.22%"
"06/17/2023","35.614","35.614","35.614","35.614","196.68%"
"06/16/2023","12.004","34.793","35.614","7.999","70.75%"
"06/14/2023","7.030","7.030","7.030","7.030","-27.45%"
"06/13/2023","9.690","9.690","12.733","8.820","-21.39%"
"06/12/2023","12.326","12.326","12.326","12.326","-1.38%"
"06/11/2023","12.499","12.499","12.499","12.499","-12.29%"
"06/09/2023","14.251","14.251","14.251","10.105","22.56%"
